OLD_SERVICE_TITLE,OLD_SERVICE_URL,AUTHORITATIVE_AGO_TITLE,AUTHORITATIVE_AGO_SERVICE_URL,UPDATED_URL,AUTHORITATIVE_AGO_ITEMID,ASSOCIATED_DEPRECATED_ITEMIDS,ASSOCIATED_DEPRECATED_URLS
air photo system - flightlines.,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/73,Air Photo System - Flightlines.,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_reference/MapServer/1,YES,e82c930f46174185a20f2e82b2d278a8,c1c52258199e4f26a85a8838963ee707,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/73
air photo system - operation polygons.,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/244,Air Photo System - Operation Polygons.,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_reference/MapServer/4,YES,d1be53cc79784ab5a7f8050bac079181,21f409b5f0904227a2177488349892d6,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/244
airborne imagery historical index map points,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/553,Airborne Imagery Historical Index Map Points,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/44,YES,e7b74d4d2d134a6db32d6d808b5e7bfc,acc2a0577e6d462b9115891e84ffa3ec,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/553
airborne imagery historical index map polygons,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/55,Airborne Imagery Historical Index Map Polygons,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/61,YES,40c8965094e64cb59667058ac66be1ff,48c953b3c0054cd3b56ee3a2ea9f4b0a,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/55
airfields - trim enhanced base map (ebm),https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/666,Airfields - TRIM Enhanced Base Map (EBM),https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/81,YES,fad4ad117ca142258fa1bae101713af5,99d807e102fd4d4498f32edcae1068ee,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/666
airphoto centroids,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/250,Airphoto Centroids,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/33,YES,f4617ff3f3654448925a1b6b0e257df7,c274b6e7986d4cbfa0c078eb1af65523,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/250
airphoto flightlines,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/258,Airphoto Flightlines,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/64,YES,307474f30a7f446f9fd5edb2acb04611,080f5e9d72e64399bcac19bbfb5a0efb,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/258
alc agricultural land reserve lines,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/473,ALC Agricultural Land Reserve Lines,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_legal_admin_boundaries/MapServer/14,YES,b1b6e6b9e77d47fa85435b5cd3aa4728,110c1d481d824aa095fd40710a159995,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/473
alc alr polygons,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/39,ALC ALR Polygons,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_legal_admin_boundaries/MapServer/21,YES,0ce279465c97462e8b583e6d67987bdd,578e10b5460549da80aded0502c501f4,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/39
alc planning reviews spatial view,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/610,ALC Planning Reviews Spatial view,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_legal_admin_boundaries/MapServer/11,YES,fa741b559eda4b7aa94f6896ad85ccb7,bb4ad2b03798492ca0ca5d94f4107c9f,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/610
alcids - coastal resource information management system (crims),https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/372,Alcids - Coastal Resource Information Management System (CRIMS),https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_wildlife_management/MapServer/67,YES,a55218b911164fc08cd6b9c7bd6728c4,13aa9bfcbdfb4a9695b4544ec15d2bfa,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/372
alr applications (spatial view),https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/387,ALR Applications (Spatial View),https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_legal_admin_boundaries/MapServer/12,YES,dac3195d89ec4333b99038bca93c27e5,82abd0c003464527b1466438bcacc0e2,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/387
aquatic invasive species of british columbia,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/107,Aquatic Invasive Species of British Columbia,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/6,YES,e106b0aceef947469e124cbb3daefa15,06853c37242f492e9071d585b343eb2b,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/107
aquifer vulnerability to saltwater intrusion – pumping and coastal hazard,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/847,Aquifer Vulnerability to Saltwater Intrusion - Pumping and Coastal hazard,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_water_management/MapServer/23,YES,17064b30300c4321a64292a783287d6c,d1dfd03cfc32456f8db4a0af8bfc0aa7,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/696
aquifer vulnerability to saltwater intrusion – pumping hazard,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/827,Aquifer Vulnerability to Saltwater Intrusion - Pumping hazard,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_water_management/MapServer/2,YES,e7435c720d82428789a2a710bd1ed7ec,a5e236007e6442c6b87be7654464cd6b,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/192
archaeological culture areas,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/245,Archaeological Culture Areas,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_archaeology/MapServer/0,YES,0772b42bfca442ca98efe3a682526cf7,2f72997f5b184cc986f6d9c6236d5877,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/245
archaeology borden grid,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/267,Archaeology Borden Grid,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_archaeology/MapServer/1,YES,6e071ca6a99a4490b91e1f22cc5dd5a7,1a3f1ec451c2435998a93e674eb567ea,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/267
area based management plans,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/764,Area Based Management Plans,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_waste/MapServer/3,YES,9632f4ed17094de8a6d599c91f0a0c61,,
assessment report index system (aris) database,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/479,Assessment Report Index System (ARIS) Database,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_mineral_tenure/MapServer/58,YES,bb581b4fb17c4a69aa28268745481e82,5e6a8449520248279627b2d45b9dbd0d,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/479
assisted living locations,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/773,Assisted Living Residences,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/25,YES,bce91df9c2aa42f68735fc6716e1ea4d,,
ates avalanche terrain exposure scale recreation boundaries,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/135,ATES Avalanche Terrain Exposure Scale Recreation Boundaries,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_human_cultural_economic/MapServer/37,YES,2e13b8361db54e648042045ab6785d0a,35d5cae459d84ef9b875d67c4e7deee5,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/135
automated snow weather station locations,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/568,Automated Snow Weather Station Locations,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_water_management/MapServer/29,YES,b98582fbdef74b2ea278040aa91a0ca1,eec3de14f8a6439eb461a6374126a13f,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/568
avalanche and weather programs - weather and frost probe station network,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/596,Avalanche and Weather Programs - Weather and Frost Probe Station Network,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/596,NO,3a7f5333f596453485ab666f44e9877d,29f50ba157114a1fb71fbe42ca49292d,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/596
b.c. dams,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/635,BC Dams,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_water_management/MapServer/3,YES,12348b3577e349129434ceaa463120a7,427f7407fcdd4f55b056587fc9d0afef,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/635
background groundwater concentration region sample sites,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/768,Background Groundwater Concentration Region Sample Sites,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_waste/MapServer/0,YES,ee9826ba27f9466b900e240ca1999930,,
background groundwater concentration regions,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/769,Background Groundwater Concentration Regions,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_waste/MapServer/4,YES,9577d1b714dd4784a1253b970f5b976e,,
bald eagles - coastal resource information management system (crims),https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/592,Bald Eagles - Coastal Resource Information Management System (CRIMS),https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_wildlife_management/MapServer/0,YES,4305ac7b027d427ea9f3eb016386565a,4c91d2ee80b4436b92ce5d5397aba433,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/592
baseline thematic mapping present land use version 1 spatial layer,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/31,Baseline Thematic Mapping Present Land Use Version 1 Spatial Layer,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/13,YES,6b96c34586e74db2968599132911c91c,c22695480e9446baa6a817d384749b74,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/31
bathymetric maps,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/225,Bathymetric Maps,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/19,YES,6a59b155b69344319ffcee567db62bdf,27213abd9bdf44dfb594e634f962380a,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/225
bathymetric maps of surveyed lakes,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/119,Bathymetric Maps of Surveyed Lakes,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/12,YES,3fbc43f756764e2f95e6818348266213,57dffd13c7f64b2ebcabf0519d46a1ca,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/119
bc airports,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/54,BC Airports,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/8,YES,ceb3cb3b69d641a9b69b1f8934153b7e,c9b15a59263241c5bf1499f40ef07fb9,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/54
"bc basemap lines 1:6,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/102,"BC Basemap Lines 1:6,000,000  (Digital Baseline Mapping)",https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/61,YES,c5ece67e002d40ec98c2389623078fbc,8416c64cbf05400b8c906f6df2751a1b,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/102
bc canadian aquatic biomonitoring network (cabin) model polygons,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/844,BC Canadian Aquatic Biomonitoring Network (CABIN) Model Polygons,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_environmental_monitoring/MapServer/14,YES,31116d3585e545968d5b2cea477c1c2e,,
bc canadian aquatic biomonitoring network (cabin) sites,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/839,BC Canadian Aquatic Biomonitoring Network (CABIN) Sites,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_environmental_monitoring/MapServer/10,YES,527e82bfde6840469f3b2e2fba0318b8,,
bc college region boundaries,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/740,BC College Region Boundaries,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/11,YES,8feb53a637374a099b791a9aa2b259f1,fd7afcc0aef2420dbb0a5271db21b707,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/740
"bc designated areas lines 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/228,"BC Designated Areas Lines 1:2,000,000  (Digital Baseline Mapping)",https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/29,YES,6da2b026921e45e5b4b36b0e69b5667f,aec31bfc19a040dc92ee0f5d111fd44c,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/228
"bc designated areas points 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/332,"BC Designated Areas Points 1:2,000,000  (Digital Baseline Mapping)",https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/72,YES,16f50b4caad340059e80ba1ff519e1be,409e49e5f4784311bd11606e52197a0c,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/332
bc environmental monitoring location groups,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/686,BC Environmental Monitoring Location Groups,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_environmental_monitoring/MapServer/11,YES,0dbe373e826e496c92115ffb2e213aaf,d2a0b2bc4b7b4fc3bfc515da3235ac84,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/686
bc environmental monitoring locations,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/367,BC Environmental Monitoring Locations,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_environmental_monitoring/MapServer/2,YES,3ca584c2e57e472ea58e1c5fea812485,3d7af01d0ba94db78c8a62df06dbcdd0,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/367
bc geographical names,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/637,BC Geographical Names,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/60,YES,d500a748ecd640928e2c8f88e6650beb,bfa26b3cd31e475797268eab097fef4e,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/637
bc health care facilities (hospital),https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/57,BC Health Care Facilities (Hospital),https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/13,YES,1704db5d7a05483c940607cef1111ac2,5d860fc7e7474b3e8ad037fdc6a6802c,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/57
bc hexagonal grid,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/736,BC Hexagonal Grid,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/12,YES,63c8693256834f9189e64387f88d960d,3d0f1f2417104326944983181b47dcc0,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/736
"bc historical fish distribution - points (50,000)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/646,"BC Historical Fish Distribution - Points (50,000)",https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/9,YES,a36d18891e72440bb00682493477fd6e,c195f2a34ac443d184987f3c131f672d,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/646
"bc historical fish distribution - zones (50,000)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/542,"BC Historical Fish Distribution - Zones (50,000)",https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/7,YES,ce94a6156172428ea812a1ada7863f5a,eeedc87408d64af89fca07697178b1f6,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/542
bc hydro resource options mapping - 2013,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/631,BC Hydro Resource Options Mapping - 2013,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_human_cultural_economic/MapServer/63,YES,c208d78a30d04b459988c65deb7efcf3,5a1aeb6109634847aebf962bbe258e9a,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/631
bc hydro transmission lines,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/117,BC Hydro Transmission Lines,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/37,YES,f646e3d7fdd44293a8f07859990b645e,8b3da71ca607430180a1c849b708cd10,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/117
bc indigenous business listings,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/69,BC Indigenous Business Listings,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/18,YES,7e280c93ec5e4c998f857b9976ca2761,81819ac33a2446b3ac9ba0fc0cf0cf5d,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/69
"bc macro-reaches (50,000)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/287,"BC Macro-Reaches (50,000)",https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/5,YES,c30f6f8e26274d36817f15df3e32a54b,bdfc0ada1d304f99999fee07368b6369,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/287
"bc major cities points 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/628,"BC Major Cities Points 1:2,000,000  (Digital Baseline Mapping)",https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/53,YES,a3fb4c6ebfcd4abfba28439ee04809d3,3447200bfc4644d4bcbfe4845f1cebdb,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/628
bc major watersheds,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/167,BC Major Watersheds,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/92,YES,c3ba08db34414949969def52c636a03b,331a94ca4ca94e5cb0182081d0ab9581,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/167
bc network connectivity,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/753,BC Network Connectivity,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/38,YES,35b018a2dd7f4238b025adc988ae4d9a,,
"bc parks, ecological reserves, and protected areas",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/512,British Columbia Parks Ecological Reserves and Protected Areas,https://services6.arcgis.com/ubm4tcTYICKBpist/arcgis/rest/services/British_Columbia_Parks_Ecological_Reserves_and_Protected_Areas/FeatureServer,NA,6773e6a38f2749808679c7c712e2f79b,"8d1d458346bd42adbedbd9754dac0b33,c34935b00309412f99161dd87a41683a","https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/512,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/512"
bc ports and terminals,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/202,BC Ports and Terminals,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/21,YES,fe6972c054a241f6bd1bec19e1f79574,a8706c57bd0e49879ec812915ed9abdb,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/202
