OLD_WS_TITLE,OLD_WS_URL,AGO_TITLE,AGO_ITEMID,AGO_WS_URL,URL_UPDATED
air photo system - flightlines.,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/73,Air Photo System - Flightlines.,e82c930f46174185a20f2e82b2d278a8,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_reference/MapServer/1,YES
air photo system - operation polygons.,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/244,Air Photo System - Operation Polygons.,d1be53cc79784ab5a7f8050bac079181,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_reference/MapServer/4,YES
airborne imagery historical index map points,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/553,Airborne Imagery Historical Index Map Points,e7b74d4d2d134a6db32d6d808b5e7bfc,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/44,YES
airborne imagery historical index map polygons,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/55,Airborne Imagery Historical Index Map Polygons,40c8965094e64cb59667058ac66be1ff,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/61,YES
airfields - trim enhanced base map (ebm),https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/666,Airfields - TRIM Enhanced Base Map (EBM),fad4ad117ca142258fa1bae101713af5,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/81,YES
airphoto centroids,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/250,Airphoto Centroids,f4617ff3f3654448925a1b6b0e257df7,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/33,YES
airphoto flightlines,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/258,Airphoto Flightlines,307474f30a7f446f9fd5edb2acb04611,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/64,YES
alc agricultural land reserve lines,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/473,ALC Agricultural Land Reserve Lines,b1b6e6b9e77d47fa85435b5cd3aa4728,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_legal_admin_boundaries/MapServer/14,YES
alc alr polygons,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/39,ALC ALR Polygons,0ce279465c97462e8b583e6d67987bdd,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_legal_admin_boundaries/MapServer/21,YES
alc planning reviews spatial view,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/610,ALC Planning Reviews Spatial view,fa741b559eda4b7aa94f6896ad85ccb7,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_legal_admin_boundaries/MapServer/11,YES
alcids - coastal resource information management system (crims),https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/372,Alcids - Coastal Resource Information Management System (CRIMS),a55218b911164fc08cd6b9c7bd6728c4,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_wildlife_management/MapServer/67,YES
alr applications (spatial view),https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/387,ALR Applications (Spatial View),dac3195d89ec4333b99038bca93c27e5,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_legal_admin_boundaries/MapServer/12,YES
aquatic invasive species of british columbia,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/107,Aquatic Invasive Species of British Columbia,e106b0aceef947469e124cbb3daefa15,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/6,YES
aquifer vulnerability to saltwater intrusion – pumping and coastal hazard,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/847,Aquifer Vulnerability to Saltwater Intrusion - Pumping and Coastal hazard,17064b30300c4321a64292a783287d6c,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_water_management/MapServer/23,YES
aquifer vulnerability to saltwater intrusion – pumping hazard,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/827,Aquifer Vulnerability to Saltwater Intrusion - Pumping hazard,e7435c720d82428789a2a710bd1ed7ec,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_water_management/MapServer/2,YES
archaeological culture areas,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/245,Archaeological Culture Areas,0772b42bfca442ca98efe3a682526cf7,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_archaeology/MapServer/0,YES
archaeology borden grid,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/267,Archaeology Borden Grid,6e071ca6a99a4490b91e1f22cc5dd5a7,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_archaeology/MapServer/1,YES
area based management plans,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/764,Area Based Management Plans,9632f4ed17094de8a6d599c91f0a0c61,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_waste/MapServer/3,YES
assessment report index system (aris) database,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/479,Assessment Report Index System (ARIS) Database,bb581b4fb17c4a69aa28268745481e82,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_mineral_tenure/MapServer/58,YES
assisted living locations,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/773,Assisted Living Residences,bce91df9c2aa42f68735fc6716e1ea4d,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/25,YES
ates avalanche terrain exposure scale recreation boundaries,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/135,ATES Avalanche Terrain Exposure Scale Recreation Boundaries,2e13b8361db54e648042045ab6785d0a,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_human_cultural_economic/MapServer/37,YES
automated snow weather station locations,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/568,Automated Snow Weather Station Locations,b98582fbdef74b2ea278040aa91a0ca1,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_water_management/MapServer/29,YES
avalanche and weather programs - weather and frost probe station network,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/596,Avalanche and Weather Programs - Weather and Frost Probe Station Network,3a7f5333f596453485ab666f44e9877d,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/596,NO
b.c. dams,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/635,BC Dams,12348b3577e349129434ceaa463120a7,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_water_management/MapServer/3,YES
background groundwater concentration region sample sites,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/768,Background Groundwater Concentration Region Sample Sites,ee9826ba27f9466b900e240ca1999930,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_waste/MapServer/0,YES
background groundwater concentration regions,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/769,Background Groundwater Concentration Regions,9577d1b714dd4784a1253b970f5b976e,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_waste/MapServer/4,YES
bald eagles - coastal resource information management system (crims),https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/592,Bald Eagles - Coastal Resource Information Management System (CRIMS),4305ac7b027d427ea9f3eb016386565a,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_wildlife_management/MapServer/0,YES
baseline thematic mapping present land use version 1 spatial layer,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/31,Baseline Thematic Mapping Present Land Use Version 1 Spatial Layer,6b96c34586e74db2968599132911c91c,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/13,YES
bathymetric maps,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/225,Bathymetric Maps,6a59b155b69344319ffcee567db62bdf,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/19,YES
bathymetric maps of surveyed lakes,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/119,Bathymetric Maps of Surveyed Lakes,3fbc43f756764e2f95e6818348266213,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/12,YES
bc airports,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/54,BC Airports,ceb3cb3b69d641a9b69b1f8934153b7e,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/8,YES
"bc basemap lines 1:6,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/102,"BC Basemap Lines 1:6,000,000  (Digital Baseline Mapping)",c5ece67e002d40ec98c2389623078fbc,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/61,YES
bc canadian aquatic biomonitoring network (cabin) model polygons,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/844,BC Canadian Aquatic Biomonitoring Network (CABIN) Model Polygons,31116d3585e545968d5b2cea477c1c2e,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_environmental_monitoring/MapServer/14,YES
bc canadian aquatic biomonitoring network (cabin) sites,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/839,BC Canadian Aquatic Biomonitoring Network (CABIN) Sites,527e82bfde6840469f3b2e2fba0318b8,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_environmental_monitoring/MapServer/10,YES
bc college region boundaries,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/740,BC College Region Boundaries,8feb53a637374a099b791a9aa2b259f1,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/11,YES
"bc designated areas lines 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/228,"BC Designated Areas Lines 1:2,000,000  (Digital Baseline Mapping)",6da2b026921e45e5b4b36b0e69b5667f,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/29,YES
"bc designated areas points 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/332,"BC Designated Areas Points 1:2,000,000  (Digital Baseline Mapping)",16f50b4caad340059e80ba1ff519e1be,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/72,YES
bc environmental monitoring location groups,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/686,BC Environmental Monitoring Location Groups,0dbe373e826e496c92115ffb2e213aaf,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_environmental_monitoring/MapServer/11,YES
bc environmental monitoring locations,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/367,BC Environmental Monitoring Locations,3ca584c2e57e472ea58e1c5fea812485,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_environmental_monitoring/MapServer/2,YES
bc geographical names,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/637,BC Geographical Names,d500a748ecd640928e2c8f88e6650beb,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/60,YES
bc health care facilities (hospital),https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/57,BC Health Care Facilities (Hospital),1704db5d7a05483c940607cef1111ac2,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/13,YES
bc hexagonal grid,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/736,BC Hexagonal Grid,63c8693256834f9189e64387f88d960d,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/12,YES
"bc historical fish distribution - points (50,000)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/646,"BC Historical Fish Distribution - Points (50,000)",a36d18891e72440bb00682493477fd6e,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/9,YES
"bc historical fish distribution - zones (50,000)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/542,"BC Historical Fish Distribution - Zones (50,000)",ce94a6156172428ea812a1ada7863f5a,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/7,YES
bc hydro resource options mapping - 2013,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/631,BC Hydro Resource Options Mapping - 2013,c208d78a30d04b459988c65deb7efcf3,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_human_cultural_economic/MapServer/63,YES
bc hydro transmission lines,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/117,BC Hydro Transmission Lines,f646e3d7fdd44293a8f07859990b645e,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/37,YES
bc indigenous business listings,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/69,BC Indigenous Business Listings,7e280c93ec5e4c998f857b9976ca2761,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/18,YES
"bc macro-reaches (50,000)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/287,"BC Macro-Reaches (50,000)",c30f6f8e26274d36817f15df3e32a54b,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_fish/MapServer/5,YES
"bc major cities points 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/628,"BC Major Cities Points 1:2,000,000  (Digital Baseline Mapping)",a3fb4c6ebfcd4abfba28439ee04809d3,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/53,YES
bc major watersheds,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/167,BC Major Watersheds,c3ba08db34414949969def52c636a03b,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/92,YES
bc network connectivity,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/753,BC Network Connectivity,35b018a2dd7f4238b025adc988ae4d9a,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/38,YES
"bc parks, ecological reserves, and protected areas",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/512,British Columbia Parks Ecological Reserves and Protected Areas,6773e6a38f2749808679c7c712e2f79b,https://services6.arcgis.com/ubm4tcTYICKBpist/arcgis/rest/services/British_Columbia_Parks_Ecological_Reserves_and_Protected_Areas/FeatureServer,NA
bc ports and terminals,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/202,BC Ports and Terminals,fe6972c054a241f6bd1bec19e1f79574,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/21,YES
"bc provincial boundaries lines 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/235,"BC Provincial Boundaries Lines 1:2,000,000  (Digital Baseline Mapping)",a99475391def4f85ba75e0a34bce545e,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/32,YES
bc public libraries systems - branches and locations,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/817,BC Public Libraries Systems - Branches and Locations,54e99a605b6b48ef83605e41253081ec,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/46,YES
bc research centres,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/482,BC Research Centres,8669979aa4f44d2daedc50aba6603bc4,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_imagery_and_base_maps/MapServer/60,YES
"bc river, lake and wetland polygons 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/293,"BC River, Lake and Wetland Polygons 1:2,000,000  (Digital Baseline Mapping)",4d8fb1dc1b2d49f09a0e158af487a29a,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/31,YES
"bc spot elevation points 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/531,"BC SPOT Elevation Points 1:2,000,000  (Digital Baseline Mapping)",d595469402b84ad0bb4b931ce7f7296e,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/106,YES
bc tourism regions,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/227,BC Tourism Regions,6b6aa1d4816c486c8df67f0a1a773a3c,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_legal_admin_boundaries/MapServer/26,YES
bc transmission lines,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/130,BC Transmission Lines,7e2eb22c3813441392ff2617ba4e5c16,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/77,YES
"bc transport lines 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/513,"BC Transport Lines 1:2,000,000  (Digital Baseline Mapping)",2044f7caffc74fa8812af33c1051727b,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/97,YES
"bc transport points 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/46,"BC Transport Points 1:2,000,000  (Digital Baseline Mapping)",4b5ab8bf365f441f9bba50f1eb25c0e3,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/49,YES
"bc water lines 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/403,"BC Water Lines 1:2,000,000  (Digital Baseline Mapping)",e7f0b7b680fa4cd69d241351433b1ab3,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/1,YES
"bc water points 1:2,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/585,"BC Water Points 1:2,000,000  (Digital Baseline Mapping)",80cbcd18c4464043886bb025bff26d08,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/38,YES
"bc water polygons 1:6,000,000  (digital baseline mapping)",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/312,"BC Water Polygons 1:6,000,000  (Digital Baseline Mapping)",afc76849dbcc4f50b4f2d59d2e68289b,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/78,YES
bc wild mountain sheep registry - distribution,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/759,BC Wild Mountain Sheep Registry - Distribution,3ca68b87fb9646b3b1bdf4c9b52a7c53,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_wildlife_management/MapServer/3,YES
bc wildfire active weather stations,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/575,BC Wildfire Active Weather Stations,5c8236f7156f40cead95f0f939a07887,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_land_and_natural_resource/MapServer/16,YES
bc wildfire area restrictions,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/815,,,,
bc wildfire cri fuel treatments,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/881,BC Wildfire CRI Fuel Treatments,311b385eeac44bb59d05fb36d2f316dc,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_land_and_natural_resource/MapServer/6,YES
bc wildfire danger rating,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/819,,,,
bc wildfire psta fire density,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/822,BC Wildfire PSTA Fire Density,51062a005e764ca792f7f5a8bc70c6da,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_land_and_natural_resource/MapServer/4,YES
bc wildfire psta fire threat rating,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/823,BC Wildfire PSTA Fire Threat Rating,752b3cee17dd42328166c337df52412b,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_land_and_natural_resource/MapServer/20,YES
bc wildfire psta head fire intensity,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/821,BC Wildfire PSTA Head Fire Intensity,5d22b28382454d8eb16e1bd162b02327,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_land_and_natural_resource/MapServer/19,YES
bc wildfire psta lightning fire density,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/818,BC Wildfire PSTA Lightning Fire Density,d73e097991d6485ca3537680015391e5,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_land_and_natural_resource/MapServer/17,YES
bc wildfire psta spotting impact,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/820,BC Wildfire PSTA Spotting Impact,e90a602db80b42efb5464e94af931ee4,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_land_and_natural_resource/MapServer/10,YES
bc wildfire wildland urban interface risk class,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/814,BC Wildfire Wildland Urban Interface Risk Class,eb2fa2a4415f453791aa767924b7d8fa,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_land_and_natural_resource/MapServer/15,YES
bc wildfire wui human interface buffer,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/813,BC Wildfire WUI Human Interface Buffer,3013dca87f324a23a9f71a36cd8f6bf5,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_land_and_natural_resource/MapServer/9,YES
bc wildlife psta human fire density,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/816,BC Wildfire PSTA Human Fire Density,4bd9d3eaa910482f92f28209469041ef,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_land_and_natural_resource/MapServer/8,YES
"bcgs 1:10,000 grid",https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/561,"BCGS 1:10,000 Grid",6794dd3edb324065b1ed16f9c7c0e663,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/8,YES
